title;href;year;price_eur;long;img;place
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1094765962-4becbf70/?sort=fresh_relevance_1-desc;2014;10603;60 000 км;https://avatars.mds.yandex.net/get-autoru-vos/1595794/dd3c11077f8e63bfe9d253bf7276e343/320x240;Нижний Тагил
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1094612624-91620416/?sort=fresh_relevance_1-desc;2016;10676;95 500 км;https://avatars.mds.yandex.net/get-autoru-vos/2161312/5e5d2579f3e72efcf5c175c6c36d1649/320x240;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1091600874-10b6cfc0/?sort=fresh_relevance_1-desc;2012;8760;83 000 км;https://avatars.mds.yandex.net/get-autoru-vos/2155125/1021b17916c8ffcbb111ad28d28fb137/320x240;Екатеринбург
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1095124740-9fe53b67/?sort=fresh_relevance_1-desc;2014;8468;83 786 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqRO1go9Jxlu4VkYLRvO73mtHzPsSfoQRbeTkfDJN95J4z_hIDdt6gVqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Екатеринбург
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1095145652-1c5f5d35/?sort=fresh_relevance_1-desc;2014;11334;126 176 км;https://avatars.mds.yandex.net/get-autoru-vos/2126383/fc46f6dd663e3e7156eecb16f7b56c9a/320x240;Челябинск
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1095127768-ac802c74/?sort=fresh_relevance_1-desc;2012;7883;111 234 км;https://avatars.mds.yandex.net/get-autoru-vos/1986206/5add49e79128f4023dbd83a67be0b5cf/320x240;Челябинск
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1094230714-795d12c5/?sort=fresh_relevance_1-desc;2013;8628;143 101 км;https://avatars.mds.yandex.net/get-autoru-vos/2165736/98722a8ec6ec1fe3482395054dc88637/320x240;Челябинск
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1094884088-725598c3/?sort=fresh_relevance_1-desc;2011;6800;62 000 км;https://avatars.mds.yandex.net/get-autoru-vos/1873229/4c9f9b5ce7ffeffec5d58c692b78d583/320x240;Екатеринбург
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1093375252-70b5330b/?sort=fresh_relevance_1-desc;2017;12270;37 150 км;https://avatars.mds.yandex.net/get-autoru-vos/1545460/c5dfa00f2010805662f007287b2d1b4a/320x240;Екатеринбург
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1090920356-85d0c545/?sort=fresh_relevance_1-desc;2015;11042;131 400 км;https://avatars.mds.yandex.net/get-autoru-vos/2164965/3f2fb44dec4b5128ddeef4afaec391a0/320x240;Екатеринбург
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1093664028-4748d3fa/?sort=fresh_relevance_1-desc;2017;12416;70 447 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdG0gk6LR9u5QhPfkibuC2qE2-4GPsUEbOfwaXJZIQd4T-3dWdr6whqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Екатеринбург
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1095060052-ef302ab6/?sort=fresh_relevance_1-desc;2015;11144;106 073 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdH1g0_Jx9uvQNJIhrK7yL5S2OwSvJDQ7aSxPfNa4MY4TixJWBtuwpqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Челябинск
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1094878170-86d605c2/?sort=fresh_relevance_1-desc;2014;7883;90 965 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqRB0Ak7Khhu5Q8aKUnK6yL8H2frTfweROaVxPPPNdAZsj-zKm49vV5qQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1095183464-064417a8/?sort=fresh_relevance_1-desc;2013;6859;77 600 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdH1AI9Jx5uvFpKIxyS7n6pGWSxSqxDF7LFwfjLMd8c4zm0cDdpsVlqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Екатеринбург
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1058243726-14a9/?sort=fresh_relevance_1-desc;2014;9348;68 000 км;https://avatars.mds.yandex.net/get-autoru-vos/2078395/a8614fb44ead1f1b48a710100de84719/320x240;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1095031736-faccd77f/?sort=fresh_relevance_1-desc;2013;11698;72 756 км;https://avatars.mds.yandex.net/get-autoru-vos/1904082/f96d9d7a237e48cdeca8c54dfeaba6db/320x240;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1094867902-a47bdd76/?sort=fresh_relevance_1-desc;2010;6888;68 500 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqRP1A82JxhuvVpPehmd6X-tS2-xRPweFeaSwqWaMYJM4zi1ImNusA5qQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Челябинск
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1095160918-449c63e6/?sort=fresh_relevance_1-desc;2010;6581;100 000 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdG1Qs4LBlu5wodLUmbu3v5T2TsSf9CQ7aQkvHLZNQTtW2yJzQ7uwlqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Екатеринбург
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1094803048-ff4455c5/?sort=fresh_relevance_1-desc;2016;12577;43 800 км;https://avatars.mds.yandex.net/get-autoru-vos/2087497/bfe6afaa63b23cf4efb05d8e35fa5328/320x240;Челябинск
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1094786804-20769de0/?sort=fresh_relevance_1-desc;2010;7824;166 000 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdH1gw9LB9u4AgbKRyavir5T2e5GvtCFbaVwfWeMIdMt2_mIzU7vgxqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Челябинск
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1091385952-cdcffdd9/?sort=fresh_relevance_1-desc;2015;11100;88 261 км;https://avatars.mds.yandex.net/get-autoru-vos/2127079/ae4ffc52a25a92c1f47f6ff1a25edc5e/320x240;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1094707842-e80f788a/?sort=fresh_relevance_1-desc;2011;6127;184 004 км;https://avatars.mds.yandex.net/get-autoru-vos/2162504/1fe6424f04c9686a3ce981560fa5bf20/320x240;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1095182402-016c4196/?sort=fresh_relevance_1-desc;2013;8409;133 000 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqRO1Qo3Jh9u5g4YfxyZ6i6oEmftS_weReOewveeaoQasGqyKjduuA9qQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Челябинск
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1094460112-5a536644/?sort=fresh_relevance_1-desc;2014;9945;121 900 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqRO2gI7KRtu514fLB6Y6HysG2S_RPIXSr2RkffPN9BItz_mIzdq7AlqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Челябинск
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1094524568-d9a0ea46/?sort=fresh_relevance_1-desc;2014;8482;96 000 км;https://avatars.mds.yandex.net/get-autoru-vos/2078183/e543596453e731c40c2323f171467312/320x240;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1094463760-52c8fd13/?sort=fresh_relevance_1-desc;2012;9360;140 000 км;https://avatars.mds.yandex.net/get-autoru-vos/2073783/467d098c2ccccbe7bb6410e796445144/320x240;Челябинск
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1094269734-0a73c254/?sort=fresh_relevance_1-desc;2014;9199;74 593 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdG1Q44LRJu4V5OfRid6iz5TmLsSPsTReHBxfKZMYQS6jngKjJqsQRqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Берёзовский
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1094186916-703b6290/?sort=fresh_relevance_1-desc;2017;11846;60 000 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdG2wo5JhhusA5NeR7N7CmqEmWwRPMTFbaXw_LKN4NP5j3hJjVuvQRqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Челябинск
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1093590634-1dec41a5/?sort=fresh_relevance_1-desc;2017;12563;19 687 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdG2g4-KhNut1lKKRuTvCr9SGK-RPlDS7KWlKSeMIQZtW29d2ZpvVxqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1093275816-2f99049c/?sort=fresh_relevance_1-desc;2011;8555;150 000 км;https://avatars.mds.yandex.net/get-autoru-vos/1669622/95da00acf04ec5a0e49aa8e170e13a3a/320x240;Челябинск
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1093222068-66838554/?sort=fresh_relevance_1-desc;2017;11773;69 269 км;https://avatars.mds.yandex.net/get-autoru-vos/2062526/a71a1fae9adfd3e7cc8073da8cdba119/320x240;Челябинск
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1091846838-ada3770d/?sort=fresh_relevance_1-desc;2014;7311;145 000 км;https://avatars.mds.yandex.net/get-autoru-vos/2160938/ef3a04fd95d179ecb5cf3e203620c2eb/320x240;Челябинск
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1091620000-b533dc8e/?sort=fresh_relevance_1-desc;2010;8029;114 139 км;https://avatars.mds.yandex.net/get-autoru-vos/2174361/16765faaf3d4219ec319c108c59b1c89/320x240;Екатеринбург
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1090086578-0f7433a7/?sort=fresh_relevance_1-desc;2016;10808;59 311 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqRB2gI3JxNuvFlILk-T5Cn6HG68GagVRbWexfacZ9BJsjflK2ZsvA1qQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Берёзовский
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1089986552-6391d6a0/?sort=fresh_relevance_1-desc;2012;8190;115 000 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqRO0Aw_Lxlu5gIeIxvPu3n5GzfqRKgXR7aUlPXJNtQct23nI2RquQ1qQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Нижний Тагил
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1089464880-0098b4f8/?sort=fresh_relevance_1-desc;2014;10676;91 046 км;https://avatars.mds.yandex.net/get-autoru-vos/1875893/e834a5696d4b9f3ac31c4154a051fd77/320x240;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1085785516-126f958b/?sort=fresh_relevance_1-desc;2012;7678;66 100 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdG1Qk7Jxpu51lKf0_IvCyqHDC5RK8TFryexfbJYIVJtTflJzBs6FhqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Нижний Тагил
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1094204290-b230232e/?sort=fresh_relevance_1-desc;2011;6362;70 000 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdG1Qk2Lxxu4FhKKx2a7SKtGWa7GKsSQuHFkqbIYtAa5T3hdmM26wlqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1093619802-2e3a3164/?sort=fresh_relevance_1-desc;2012;8043;113 000 км;https://avatars.mds.yandex.net/get-autoru-vos/2058011/5267721402df7534df2469e587722ed2/320x240;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1093504158-4964125d/?sort=fresh_relevance_1-desc;2010;6581;91 000 км;https://avatars.mds.yandex.net/get-autoru-vos/2093577/01b671adbead94e9305a6907143b0b61/320x240;Катайск
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1093036560-02d7dc01/?sort=fresh_relevance_1-desc;2010;8482;151 500 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqRO2gI7KRtu4F1PLkuZuC-oEmawTfIVReaRlaKcY98b5myxI2Bs7w1qQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1092857628-4844a35c/?sort=fresh_relevance_1-desc;2012;10076;74 000 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdG1Q85LR1u5l4bIhma6Cv6GjSwHqhHRrGRwfOZMtFP5j6xImM9ullqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1085785516-126f958b/?sort=fresh_relevance_1-desc;2012;7678;66 100 км;https://avatars.mds.yandex.net/get-autoru-vos/2163591/cbadbca656f18e5e992663ccf9a4fcae/320x240;Нижний Тагил
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1091984536-9b42c575/?sort=fresh_relevance_1-desc;2011;6581;129 000 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdG1wk4Lhpusw9NIhWT5Cj5HmW4SagfROCfxaWaYIVM4T-wJ2Jp7w5qQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Камышлов
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1089983498-da551ff7/?sort=fresh_relevance_1-desc;2011;6581;190 000 км;https://auto.ru/_crpd/E98QCOi01/817909qo/iWtp4nh1igIOl3JSHwXCsUN28jbXC8Q-PSAe6H1vyFllqlDcczPqdG1g8_LB5u5V1PfxvNuy6oEmW6SP0UFeTGxPicY9FP5T3nJWA87FtqQ2AndTEh-Ezt-DaSo-v7p6Z4yTDQEX_YGIBcSHZhONJ6cnl4yJxA1V4sxC2pTArJ8A#DSD;Екатеринбург
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1073320548-3025/?sort=fresh_relevance_1-desc;2011;6215;136 000 км;https://avatars.mds.yandex.net/get-autoru-vos/2101836/6fa8ab90d3a6e56e8a903d36ce81e55c/320x240;Асбест
Skoda Yeti I;https://auto.ru/cars/used/sale/skoda/yeti/1053099516-e2427a48/?sort=fresh_relevance_1-desc;2012;10676;127 200 км;https://avatars.mds.yandex.net/get-autoru-vos/2023604/1d1ef17f5b8f67327f0af221b5828174/320x240;Екатеринбург
Skoda Yeti I Рестайлинг;https://auto.ru/cars/used/sale/skoda/yeti/1095028642-14db2d04/?sort=fresh_relevance_1-desc;2014;10369;72 900 км;https://avatars.mds.yandex.net/get-autoru-vos/1956920/27c5b961365c01cc05f0102db84fe263/320x240;Екатеринбург
